
Stream stopped by user.
nvidia@nvidia-desktop:~/Desktop$ python3 6imu.py
IMU 0 initialized on TCA Channel 0
IMU 1 initialized on TCA Channel 1
IMU 2 initialized on TCA Channel 2
IMU 3 initialized on TCA Channel 3
IMU 4 initialized on TCA Channel 4
IMU 5 initialized on TCA Channel 5

Starting data stream (50Hz)... Press Ctrl+C to stop.

----------------------------------------------------------------------------------------
Rel_Time(s)  | ID |  Accel_X  Accel_Y  Accel_Z |    Roll   Pitch     Yaw
   1.998 | 5  |    0.981   -0.076    0.239 |   -17.8   -75.6    50.6
   2.036 | 0  |    0.786    0.005   -0.641 |   178.8   -50.8  -153.8
   2.036 | 1  |         Comm Error         |            -           
   2.036 | 2  |    0.181   -0.956   -0.129 |   -96.6   -11.7   -55.5
   2.036 | 3  |         Comm Error         |            -           
   2.036 | 4  |         Comm Error         |            -           
   2.036 | 5  |    0.977   -0.068    0.230 |   -17.0   -75.5    49.8
   2.074 | 0  |    0.793    0.005   -0.649 |   178.9   -50.8  -154.2
   2.074 | 1  |         Comm Error         |            -           
   2.074 | 2  |    0.183   -0.966   -0.134 |   -96.9   -11.5   -55.1
   2.074 | 3  |         Comm Error         |            -           
   2.074 | 4  |         Comm Error         |            -           
   2.074 | 5  |    0.975   -0.069    0.229 |   -16.2   -75.5    49.2
   2.112 | 0  |    0.798   -0.005   -0.648 |   179.0   -50.7  -154.6
   2.112 | 1  |         Comm Error         |            -           
   2.112 | 2  |    0.204   -0.962   -0.142 |   -97.2   -11.5   -54.5
   2.112 | 3  |         Comm Error         |            -           
   2.112 | 4  |         Comm Error         |            -           
   2.112 | 5  |    0.980   -0.059    0.233 |   -15.5   -75.4    48.7
   2.150 | 0  |    0.790    0.000   -0.652 |   178.9   -50.5  -154.8
   2.150 | 1  |         Comm Error         |            -           
   2.150 | 2  |    0.212   -0.982   -0.121 |   -97.2   -11.6   -54.0
   2.150 | 3  |         Comm Error         |            -           
   2.150 | 4  |         Comm Error         |            -           
   2.150 | 5  |    0.985   -0.051    0.218 |   -14.5   -75.5    48.0
   2.188 | 0  |    0.782    0.016   -0.648 |   178.6   -50.4  -154.5
   2.188 | 1  |         Comm Error         |            -           
   2.188 | 2  |    0.140   -1.006   -0.050 |   -96.7   -11.4   -53.6
   2.188 | 3  |         Comm Error         |            -           
   2.188 | 4  |         Comm Error         |            -           
   2.188 | 5  |    0.983   -0.046    0.243 |   -13.4   -75.5    47.1
   2.226 | 0  |    0.800    0.038   -0.653 |   178.0   -50.4  -154.0
   2.226 | 1  |         Comm Error         |            -           
   2.226 | 2  |    0.110   -1.035    0.026 |   -95.3   -10.5   -52.9
   2.226 | 3  |         Comm Error         |            -           
   2.226 | 4  |         Comm Error         |            -           
   2.226 | 5  |    0.972   -0.051    0.236 |   -12.7   -75.4    46.8
   2.264 | 0  |    0.781    0.045   -0.646 |   177.5   -50.3  -153.3
   2.264 | 1  |         Comm Error         |            -           
   2.264 | 2  |    0.230   -1.025    0.132 |   -92.7   -10.2   -52.2
   2.264 | 3  |         Comm Error         |            -           
   2.264 | 4  |         Comm Error         |            -           
   2.264 | 5  |    0.961   -0.019    0.239 |   -11.2   -75.3    45.7
   2.303 | 0  |    0.776    0.047   -0.643 |   177.1   -50.2  -152.8
   2.303 | 1  |         Comm Error         |            -           
   2.303 | 2  |    0.159   -1.120    0.122 |   -89.6    -9.3   -52.0
   2.303 | 3  |         Comm Error         |            -           
   2.303 | 4  |         Comm Error         |            -           
   2.303 | 5  |    0.978   -0.033    0.228 |   -10.8   -75.4    45.5
   2.341 | 0  |    0.776    0.060   -0.640 |   176.8   -50.2  -152.3
   2.341 | 1  |         Comm Error         |            -           
   2.341 | 2  |    0.216   -1.129    0.097 |   -87.3    -8.8   -51.8
   2.341 | 3  |         Comm Error         |            -           
   2.341 | 4  |         Comm Error         |            -           
   2.341 | 5  |    0.981   -0.044    0.234 |   -11.1   -75.4    46.0
   2.379 | 0  |    0.779    0.071   -0.638 |   176.3   -50.2  -151.5
   2.379 | 1  |         Comm Error         |            -           
   2.379 | 2  |    0.221   -1.102    0.073 |   -85.7    -8.6   -51.6
   2.379 | 3  |         Comm Error         |            -           
   2.379 | 4  |         Comm Error         |            -           
   2.379 | 5  |    0.968   -0.053    0.244 |   -11.6   -75.3    46.8
   2.418 | 0  |    0.778    0.078   -0.648 |   175.7   -50.0  -150.7
   2.418 | 1  |         Comm Error         |            -           
   2.418 | 2  |    0.207   -1.033    0.036 |   -83.7    -8.6   -51.5
   2.418 | 3  |         Comm Error         |            -           
   2.418 | 4  |         Comm Error         |            -           
   2.418 | 5  |    0.970   -0.057    0.231 |   -12.5   -75.2    48.0
   2.456 | 0  |    0.782    0.066   -0.654 |   175.6   -49.8  -150.4
   2.456 | 1  |         Comm Error         |            -           
   2.456 | 2  |    0.235   -1.036    0.029 |   -82.2    -9.1   -51.4
